Company ID	Company Name (Korean)	Company Name (English)	기업설명	매출	누적투자금액 (억원)	직원수	카테고리	키워드
CP00012679	트러스테이	TRUSTAY CO.,LTD.	부동산 통합 자산 및 임대관리 플랫폼 ‘홈노크' 등을 운영하는 기업	1999392000	30.0	64	부동산/건설	자산관리,코리빙,임대,프롭테크,B2C,플랫폼/마켓플레이스,APP
CP00013614	딥블루닷	DEEP BLUEDOT, INC.	AI 기반 고객 커뮤니케이션 분석 서비스 '싱클리'를 운영하는 기업	910000	35.0	10	통신/보안/데이터,AI/딥테크/블록체인	메세지 ,협업툴/생산성,데이터,인공지능,B2B,SaaS/엔터프라이즈,APP
CP00013658	아웃스탠더스	AWOOTSEUTAENDEOSEU CO.,LTD.	대학원생 커리어 플랫폼 '가방끈'을 운영하는 기업	0	None	3	소셜미디어/커뮤니티	커뮤니티,구인구직/채용,B2C,플랫폼/마켓플레이스,APP,WEB,교육/컨설팅/용역
CP00015621	타날리시스	TANALYSIS CO.,LTD.	AI 기반 실시간 특허 분석 플랫폼 '페이트'를 개발하는 기업	32818000	None	8	인사/비즈니스/법률,AI/딥테크/블록체인	특허,프로그래밍개발,인공지능,B2B,플랫폼/마켓플레이스,SaaS/엔터프라이즈,구독,소프트웨어
CP00014069	캐럿솔루션즈	CARROT SOLUTIONS, INC.	에듀테크 기반 영어회화 교육 서비스 플랫폼 '당근영어'를 운영하는 기업	20045169000	50.0	60	교육	영상/비디오,영어,비대면교육,인공지능,B2C,구독,APP,WEB,콘텐츠,에듀테크
CP00003026	푸드노트서비스	FOOD NOTE SERVICE CO.,LTD.	모바일 기반 배달점포를 대상으로 간편장부 관리 플랫폼 '장부대장'을 운영하는 기업	186517000	66.5	20	금융/보험/핀테크,푸드/농업	자산관리,배달,빅데이터,B2B,플랫폼/마켓플레이스,APP,소프트웨어,데이터/API
CP00016826	왈라	WALA INC.	셀럽 패션 플랫폼 '왈라랜드'를 운영하는 기업	1257173000	None	19	커머스,패션	이커머스,의류,패션잡화,B2C,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어
CP00001812	루트에너지	ROOT ENERGY INC.	재생에너지 크라우드 펀딩 및 중개 플랫폼 '루트에너지'를 운영하는 기업	535887000	71.0	7	금융/보험/핀테크,환경/에너지	투자,태양광,기타신재생에너지,B2B,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,용역,교육/컨설팅/용역,금융상품,비영리/기부/사회적기업
CP00013415	라이크낫	LIKENOT CO.,LTD.	여성 대상 속옷 큐레이션 플랫폼 '풀라'를 운영하는 기업	261232000	None	6	커머스,패션	이커머스,의류,패션잡화,인공지능,빅데이터,B2C,여성,플랫폼/마켓플레이스,WEB,상품/하드웨어,여성창업 
CP00001630	에너지엑스	ENERGY X INC.	AI 기반 에너지 발전사업 O2O 플랫폼 '에너지엑스'를 운영하는 기업 	13824762000	251.0	24	환경/에너지,AI/딥테크/블록체인	크라우드펀딩,투자,기타신재생에너지,B2B,B2C,플랫폼/마켓플레이스,WEB
CP00013542	이너버즈	Innerverz Co.,Ltd.	딥 러닝 기반 버추얼 인플루언서를 제작하는 기업	86715000	25.0	15	AI/딥테크/블록체인	인공지능,3D그래픽/CG,딥러닝/머신러닝,B2B,상품판매/브랜드/하드웨어,콘텐츠,한류/K-POP/K-Contents,인플루언서,생성형AI
CP00013386	두왓	DOWHAT	호텔 통합 플랫폼 '두왓'을 제공하는 기업	1006528000	12.0	26	여행/레저,인사/비즈니스/법률	숙박,여행정보,CRM,경리/경영관리,B2B,B2C,SaaS/엔터프라이즈,APP,WEB,소프트웨어
CP00012154	팩트블록	FACTBLOCK CORP.	블록체인 커뮤니티 빌더 사업을 운영하는 기업	7715848773	95.9	30	AI/딥테크/블록체인	블록체인기술,web3.0,B2B,플랫폼/마켓플레이스,소프트웨어,교육/컨설팅/용역
CP00003135	테사		크라우드펀딩 기반 디지털 분할 소유권 구매 방식의 아트테크 플랫폼 '테사'를 운영하는 기업	79469000	121.0	16	커머스,콘텐츠/예술,금융/보험/핀테크	크라우드펀딩,미술,전시,투자,자산관리,P2P,B2C,플랫폼/마켓플레이스,거래수수료,APP,콘텐츠,금융상품,기타DeepTech,비대면/무인시스템/Untact,조각투자
CP00011630	하이퍼라운지	HYPERLOUNGE	중소기업 대상 사내 데이터 분석 서비스 '하이퍼리포트'를 운영하는 기업	484580000	106.0	51	인사/비즈니스/법률,통신/보안/데이터	B2B,스타트업/창업자,SaaS/엔터프라이즈,구독,APP,데이터/API
CP00010515	콘텐츠테크놀로지스	CONTENTS TECHNOLOGIES CO., LTD.	콘텐츠 지식재산권(IP) 기반 기업 대상 투자/인수/컴퍼니빌딩을 제공하는 기업	743210000	687.0	10	콘텐츠/예술,금융/보험/핀테크	음악,대출,B2B,투자수익,용역,교육/컨설팅/용역
CP00012783	에이치티비욘드	HT BEYOND CO., LTD.	IoT 기반 공간기술 플랫폼 '바이비'를 운영하는 기업	9401611000	90.0	62	소셜미디어/커뮤니티,부동산/건설	커뮤니티,IoT,스마트시티,프롭테크,B2B,B2C,플랫폼/마켓플레이스,APP
CP00000197	라운즈	ROUNZ CORP.	AI 기반 안경 가상 피팅 및 아이웨어 쇼핑 플랫폼 '라운즈'를 운영하는 기업	7635093000	100.0	30	커머스,AI/딥테크/블록체인	이커머스,VR/AR,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어,메타버스 
CP00002534	에디트콜렉티브	EDT COLLECTIVE CO.,LTD.	건축법규 자동분석 및 기획설계 솔루션을 제공하는 기업	405734000	45.0	14	부동산/건설	설계,3D프린팅,3D그래픽/CG,빅데이터,B2C,구독,WEB
CP00003117	컨택스츠아이오	Contxts.io	대체불가토큰(NFT) 자산 관리 플랫폼을 운영하는 기업	191659000	560.5	9	금융/보험/핀테크,AI/딥테크/블록체인	자산관리,블록체인기술,B2C,플랫폼/마켓플레이스,거래수수료,금융상품,기타DeepTech
CP00012461	타임퍼센트	TIME PERCENT CO., LTD.	가상자산 투자전략 거래 플랫폼 '트레이딩뱅크'를 개발하는 기업	0	11.5	5	금융/보험/핀테크,AI/딥테크/블록체인	투자,주식/증권,로보어드바이저/퀀트,빅데이터,B2C,플랫폼/마켓플레이스,WEB,데이터/API
CP00014633	포크홀딩스	POKE HOLDINGS CO.,LTD.	미디어 리뷰 커머스 플랫폼 '포크쇼핑'을 운영하는 기업	None	None	14	커머스,콘텐츠/예술,패션	리뷰,MCN/크리에이터,의류,신발,패션잡화,쥬얼리,B2B,B2C,플랫폼/마켓플레이스,APP,콘텐츠
CP00010155	트리플랩스	TRIPLELABS INC.	온라인 보석상 '어니스트서울'을 운영하는 기업	2405259000	11.0	17	커머스,패션	이커머스,배송,쥬얼리,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,WEB,상품/하드웨어
CP00011908	팜트리아일랜드	PALM TREE ISLAND CO., LTD.	뮤지컬 배우 발굴 및 육성 연예 매니지먼트를 운영하는 기업	8704454000	None	10	콘텐츠/예술	음악,한류/K-pop,연예인,B2C,상품판매/브랜드/하드웨어,상품/하드웨어,콘텐츠
CP00011846	바이너리브릿지	BINARY BRIDGE INC.	당일배송 및 퀵서비스 플랫폼 '핑퐁'을 운영하는 기업	1474430000	44.0	19	물류,AI/딥테크/블록체인	물류솔루션,배송,배송대행,퀵서비스,인공지능,B2B,B2C,용역,APP,WEB,교육/컨설팅/용역
CP00010722	바로온	BARO ON INC.	골프 스윙 플레이트 '리얼필드'를 개발하는 기업 	0	2.5	1	여행/레저,피트니스/스포츠	스포츠/운동,골프,레저/액티비티
CP00014838	유나이티드어소시에이츠	UNITED ASSOCIATES INC.	AI 기반 영어 대화 챗봇 '엘라'를 개발하는 기업	288345000	None	7	교육,AI/딥테크/블록체인	영어,초등교육,청소년교육,유아교육,인공지능,B2C,에듀테크,챗봇
CP00010826	비마이펫	BE MY PET	반려동물 지식정보 플랫폼 '비마이펫라이프'를 운영하는 기업	717343000	None	9	콘텐츠/예술,홈리빙/펫	미디어,펫케어/펫테크,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠
